File Name,F-Scores,Compute Time,Real Time
RealDrum01_00#MIX.xml,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
RealDrum01_01#MIX.xml,"[0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7794871794871795, 0.7692307692307693, 0.7282051282051283, 0.553846153846154, 0.3076923076923077, 0.11282051282051282]",11.734,17.682403628117914
RealDrum01_02#MIX.xml,"[0.7841409691629956, 0.7841409691629956, 0.7841409691629956, 0.775330396475771, 0.775330396475771, 0.775330396475771, 0.775330396475771, 0.7665198237885462, 0.6872246696035242, 0.5286343612334802, 0.21145374449339208]",9.828,17.55421768707483
RealDrum01_03#MIX.xml,"[0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.8177339901477833, 0.7980295566502463, 0.6009852216748769, 0.39408866995073893, 0.2561576354679803]",9.109,17.55421768707483
RealDrum01_04#MIX.xml,"[0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9320388349514563, 0.9223300970873787, 0.8155339805825242, 0.5048543689320388, 0.23300970873786409]",8.391,16.305804988662132
RealDrum01_05#MIX.xml,"[0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.8408163265306123, 0.6448979591836734, 0.40816326530612246, 0.13877551020408163]",8.157,16.857142857142858
RealDrum01_06#MIX.xml,"[0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.9035087719298245, 0.8859649122807017, 0.6842105263157895, 0.39473684210526316, 0.1929824561403509]",10.89,17.991065759637188
RealDrum01_07#MIX.xml,"[0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.8270676691729324, 0.7969924812030076, 0.6616541353383458, 0.4511278195488722, 0.21804511278195488]",11.047,18.5
RealDrum01_08#MIX.xml,"[0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.979757085020243, 0.8987854251012146, 0.5182186234817813, 0.1214574898785425, 0]",9.031,18.74331065759637
RealDrum01_09#MIX.xml,"[0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.7215686274509804, 0.6823529411764706, 0.4470588235294118, 0.2588235294117647, 0.17254901960784313]",10.156,16.566961451247167
RealDrum01_10#MIX.xml,"[0.7136150234741785, 0.7042253521126759, 0.7042253521126759, 0.6854460093896713, 0.6666666666666667, 0.6666666666666667, 0.6572769953051644, 0.647887323943662, 0.48826291079812206, 0.30985915492957744, 0.19718309859154928]",15.922,21.25
RealDrum01_11#MIX.xml,"[0.6359832635983264, 0.6359832635983264, 0.6276150627615062, 0.6192468619246863, 0.6192468619246863, 0.6192468619246863, 0.6192468619246863, 0.5941422594142259, 0.5104602510460252, 0.3347280334728034, 0.2594142259414226]",12.125,19.566938775510206
RealDrum01_12#MIX.xml,"[0.8108108108108107, 0.8108108108108107, 0.8, 0.8, 0.7891891891891892, 0.7891891891891892, 0.7783783783783783, 0.7243243243243244, 0.6162162162162163, 0.3567567567567567, 0.12972972972972974]",13.641,20.96873015873016
RealDrum01_13#MIX.xml,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0
TechnoDrum01_00#MIX.xml,"[0.5866666666666667, 0.5777777777777777, 0.5688888888888888, 0.5688888888888888, 0.5599999999999999, 0.551111111111111, 0.5155555555555555, 0.48000000000000004, 0.40888888888888886, 0.30222222222222217, 0.29333333333333333]",14.735,19.125011337868482
TechnoDrum01_01#MIX.xml,"[0.75, 0.75, 0.75, 0.7374999999999999, 0.7125, 0.7, 0.6875000000000001, 0.675, 0.5874999999999999, 0.2375, 0.0625]",8.953,16.941179138321996
TechnoDrum01_02#MIX.xml,"[0.6447368421052632, 0.6447368421052632, 0.6447368421052632, 0.6447368421052632, 0.6447368421052632, 0.6184210526315791, 0.6184210526315791, 0.5657894736842106, 0.46052631578947373, 0.3684210526315789, 0.17105263157894735]",18.922,18.00002267573696
TechnoDrum01_03#MIX.xml,"[0.6997084548104956, 0.6997084548104956, 0.6997084548104956, 0.6822157434402332, 0.6822157434402332, 0.6180758017492711, 0.6064139941690962, 0.6064139941690962, 0.5306122448979592, 0.20408163265306123, 0.0641399416909621]",14.157,18.00002267573696
TechnoDrum01_04#MIX.xml,"[0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6692015209125475, 0.5475285171102662, 0.47148288973384034]",31.031,20.470589569160996
TechnoDrum01_05#MIX.xml,"[0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.744186046511628, 0.48837209302325585, 0.1627906976744186]",18.672,16.421065759637187
TechnoDrum01_06#MIX.xml,"[0.6263498920086393, 0.6263498920086393, 0.6263498920086393, 0.6263498920086393, 0.6177105831533478, 0.6090712742980561, 0.5831533477321814, 0.5226781857451404, 0.4449244060475162, 0.3542116630669546, 0.1814254859611231]",9.312,17.42859410430839
TechnoDrum01_07#MIX.xml,"[0.6728110599078341, 0.6728110599078341, 0.663594470046083, 0.663594470046083, 0.663594470046083, 0.6543778801843319, 0.6451612903225806, 0.5806451612903225, 0.37788018433179726, 0.16589861751152074, 0.036866359447004615]",19.078,19.142879818594103
TechnoDrum01_08#MIX.xml,"[0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.7943925233644858, 0.6542056074766355, 0.3457943925233645, 0.14018691588785048]",12.875,16.571451247165534
TechnoDrum01_09#MIX.xml,"[0.46017699115044247, 0.46017699115044247, 0.46017699115044247, 0.46017699115044247, 0.45132743362831856, 0.4247787610619469, 0.4247787610619469, 0.3893805309734514, 0.35398230088495575, 0.2743362831858407, 0.15929203539823006]",31.218,16.571451247165534
TechnoDrum02_00#MIX.xml,"[0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.37142857142857144, 0.37142857142857144, 0]",4.032,7.618662131519274
WaveDrum01_00#MIX.xml,"[0.7475409836065574, 0.7475409836065574, 0.7475409836065574, 0.7475409836065574, 0.740983606557377, 0.7278688524590164, 0.6950819672131148, 0.6295081967213115, 0.5180327868852459, 0.43278688524590164, 0.3344262295081967]",17.312,21.375011337868482
WaveDrum01_01#MIX.xml,"[0.5728155339805825, 0.5728155339805825, 0.5728155339805825, 0.5728155339805825, 0.5631067961165049, 0.5631067961165049, 0.5533980582524273, 0.4951456310679611, 0.3883495145631068, 0.30097087378640774, 0.24271844660194172]",13.781,16.941179138321996
WaveDrum01_02#MIX.xml,"[0.7490347490347491, 0.7490347490347491, 0.7490347490347491, 0.7490347490347491, 0.7490347490347491, 0.7335907335907336, 0.7335907335907336, 0.7335907335907336, 0.6718146718146718, 0.5945945945945946, 0.46332046332046334]",13.844,18.352947845804987
WaveDrum01_03#MIX.xml,"[0.7932489451476794, 0.7932489451476794, 0.7932489451476794, 0.7932489451476794, 0.7932489451476794, 0.7932489451476794, 0.7848101265822783, 0.7763713080168777, 0.7257383966244725, 0.5991561181434599, 0.36286919831223624]",10.703,17.294126984126983
WaveDrum01_04#MIX.xml,"[0.7777777777777778, 0.7777777777777778, 0.76984126984127, 0.76984126984127, 0.76984126984127, 0.76984126984127, 0.7619047619047619, 0.753968253968254, 0.5952380952380952, 0.2857142857142857, 0.05555555555555555]",12.187,17.647074829931974
WaveDrum01_05#MIX.xml,"[0.8409893992932862, 0.8409893992932862, 0.8409893992932862, 0.8409893992932862, 0.8409893992932862, 0.8409893992932862, 0.784452296819788, 0.6007067137809188, 0.40989399293286216, 0.21201413427561835, 0.07773851590106007]",17.766,20.842108843537414
WaveDrum01_06#MIX.xml,"[0.703125, 0.703125, 0.703125, 0.703125, 0.6953125000000001, 0.6875, 0.671875, 0.6640624999999999, 0.5859375000000001, 0.42968749999999994, 0.2890625]",14.578,19.142879818594103
WaveDrum01_07#MIX.xml,"[0.736842105263158, 0.736842105263158, 0.736842105263158, 0.736842105263158, 0.736842105263158, 0.736842105263158, 0.7263157894736842, 0.7157894736842105, 0.6210526315789474, 0.49473684210526314, 0.23157894736842105]",12.797,16.85716553287982
WaveDrum01_08#MIX.xml,"[0.6562499999999999, 0.6458333333333333, 0.6041666666666666, 0.5937499999999999, 0.5833333333333334, 0.5833333333333334, 0.5625, 0.5416666666666667, 0.48958333333333337, 0.3020833333333333, 0.14583333333333334]",14.156,20.571451247165534
WaveDrum01_09#MIX.xml,"[0.749003984063745, 0.749003984063745, 0.749003984063745, 0.749003984063745, 0.749003984063745, 0.749003984063745, 0.749003984063745, 0.7330677290836654, 0.5976095617529881, 0.31075697211155373, 0.07171314741035856]",14.969,21.00002267573696
WaveDrum02_01#MIX.xml,"[0.9734513274336283, 0.9734513274336283, 0.9734513274336283, 0.9734513274336283, 0.9734513274336283, 0.9734513274336283, 0.9734513274336283, 0.9734513274336283, 0.9557522123893805, 0.7787610619469025, 0.46017699115044247]",9.86,17.066666666666666
WaveDrum02_02#MIX.xml,"[0.854368932038835, 0.854368932038835, 0.854368932038835, 0.854368932038835, 0.854368932038835, 0.854368932038835, 0.854368932038835, 0.854368932038835, 0.8155339805825242, 0.6601941747572815, 0.48543689320388356]",10.438,14.86077097505669
WaveDrum02_03#MIX.xml,"[0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666, 0.875, 0.6458333333333334, 0.4791666666666667]",9.547,13.374693877551021
WaveDrum02_04#MIX.xml,"[0.7516778523489932, 0.7516778523489932, 0.7516778523489932, 0.7516778523489932, 0.7516778523489932, 0.7516778523489932, 0.7516778523489932, 0.7516778523489932, 0.7382550335570469, 0.6040268456375839, 0.3221476510067114]",10.984,15.018684807256236
WaveDrum02_05#MIX.xml,"[0.7530864197530864, 0.7530864197530864, 0.7530864197530864, 0.7407407407407408, 0.7407407407407408, 0.7407407407407408, 0.7407407407407408, 0.7407407407407408, 0.6913580246913581, 0.5555555555555556, 0.39506172839506165]",15.235,16.34684807256236
WaveDrum02_06#MIX.xml,"[0.75177304964539, 0.75177304964539, 0.75177304964539, 0.75177304964539, 0.75177304964539, 0.75177304964539, 0.75177304964539, 0.75177304964539, 0.6666666666666666, 0.4822695035460993, 0.35460992907801414]",7.656,14.117732426303855
WaveDrum02_07#MIX.xml,"[0.9257142857142858, 0.9257142857142858, 0.9257142857142858, 0.9257142857142858, 0.9257142857142858, 0.9257142857142858, 0.9257142857142858, 0.9142857142857143, 0.8342857142857142, 0.5942857142857142, 0.2857142857142857]",9.703,15.018684807256236
WaveDrum02_08#MIX.xml,"[0.7976878612716763, 0.7976878612716763, 0.7976878612716763, 0.7976878612716763, 0.7976878612716763, 0.7976878612716763, 0.7976878612716763, 0.7976878612716763, 0.6936416184971099, 0.5780346820809249, 0.3583815028901734]",12.234,14.571428571428571
WaveDrum02_09#MIX.xml,"[0.9536423841059603, 0.9536423841059603, 0.9536423841059603, 0.9536423841059603, 0.9536423841059603, 0.9536423841059603, 0.9536423841059603, 0.9536423841059603, 0.8874172185430463, 0.6490066225165563, 0.26490066225165565]",9.516,13.374693877551021
WaveDrum02_10#MIX.xml,"[0.8148148148148149, 0.8148148148148149, 0.8148148148148149, 0.8148148148148149, 0.8148148148148149, 0.8148148148148149, 0.8148148148148149, 0.7962962962962964, 0.7592592592592592, 0.6666666666666667, 0.46296296296296297]",7.344,14.117732426303855
WaveDrum02_11#MIX.xml,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.7333333333333334, 0.7333333333333334, 0.7, 0.5833333333333334, 0.44999999999999996, 0.30000000000000004]",6.953,14.117732426303855
WaveDrum02_12#MIX.xml,"[0.7850467289719627, 0.7850467289719627, 0.7850467289719627, 0.7850467289719627, 0.7850467289719627, 0.7850467289719627, 0.7850467289719627, 0.766355140186916, 0.6542056074766356, 0.5046728971962616, 0.4112149532710281]",7.547,14.117732426303855
WaveDrum02_13#MIX.xml,"[0.7818181818181819, 0.7818181818181819, 0.7818181818181819, 0.7818181818181819, 0.7818181818181819, 0.7818181818181819, 0.7818181818181819, 0.7818181818181819, 0.7000000000000001, 0.6363636363636365, 0.21818181818181817]",9.234,12.923083900226757
WaveDrum02_14#MIX.xml,"[0.7964601769911503, 0.7964601769911503, 0.7964601769911503, 0.7787610619469026, 0.7787610619469026, 0.7610619469026548, 0.7610619469026548, 0.7610619469026548, 0.6637168141592921, 0.654867256637168, 0.19469026548672566]",9.516,12.923083900226757
WaveDrum02_15#MIX.xml,"[0.8756756756756756, 0.8756756756756756, 0.8756756756756756, 0.8756756756756756, 0.8756756756756756, 0.8540540540540541, 0.8540540540540541, 0.8540540540540541, 0.7675675675675675, 0.7675675675675675, 0.32432432432432434]",8.281,12.923083900226757
WaveDrum02_16#MIX.xml,"[0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7999999999999999, 0.7282051282051283, 0.5538461538461539, 0.29743589743589743]",8.859,13.333333333333334
WaveDrum02_17#MIX.xml,"[0.7922705314009661, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.7632850241545893, 0.6473429951690821, 0.5507246376811594, 0.15458937198067632]",8.063,13.333333333333334
WaveDrum02_18#MIX.xml,"[0.8913043478260869, 0.8913043478260869, 0.8913043478260869, 0.8913043478260869, 0.8913043478260869, 0.8913043478260869, 0.8913043478260869, 0.8913043478260869, 0.75, 0.5869565217391305, 0.30434782608695654]",7.719,13.333333333333334
WaveDrum02_19#MIX.xml,"[0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.8842105263157894, 0.6526315789473683, 0.39999999999999997]",7.594,14.336009070294784
WaveDrum02_20#MIX.xml,"[0.8631578947368421, 0.8631578947368421, 0.8631578947368421, 0.8631578947368421, 0.8631578947368421, 0.8631578947368421, 0.8631578947368421, 0.8631578947368421, 0.8210526315789474, 0.7157894736842105, 0.3157894736842105]",7.531,15.603809523809524
WaveDrum02_21#MIX.xml,"[0.968421052631579, 0.968421052631579, 0.968421052631579, 0.968421052631579, 0.968421052631579, 0.968421052631579, 0.968421052631579, 0.9052631578947369, 0.7999999999999999, 0.631578947368421, 0.5263157894736842]",7.641,14.117732426303855
WaveDrum02_22#MIX.xml,"[0.7540983606557378, 0.7540983606557378, 0.7540983606557378, 0.7540983606557378, 0.7540983606557378, 0.7540983606557378, 0.7540983606557378, 0.7540983606557378, 0.7049180327868853, 0.5901639344262294, 0.3770491803278689]",7.109,13.653333333333334
WaveDrum02_23#MIX.xml,"[0.7951807228915662, 0.7951807228915662, 0.7951807228915662, 0.7951807228915662, 0.7951807228915662, 0.7951807228915662, 0.7951807228915662, 0.7951807228915662, 0.7710843373493975, 0.6385542168674699, 0.26506024096385544]",11.219,16.34684807256236
WaveDrum02_24#MIX.xml,"[0.7375886524822693, 0.7375886524822693, 0.7375886524822693, 0.7375886524822693, 0.7375886524822693, 0.7375886524822693, 0.7375886524822693, 0.7234042553191489, 0.6666666666666665, 0.5531914893617021, 0.43971631205673756]",8.562,14.86077097505669
WaveDrum02_25#MIX.xml,"[0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9310344827586207, 0.9195402298850575, 0.8045977011494253, 0.5747126436781609, 0.28735632183908044]",7.922,15.018684807256236
WaveDrum02_26#MIX.xml,"[0.8875000000000001, 0.8875000000000001, 0.8875000000000001, 0.8875000000000001, 0.8875000000000001, 0.8875000000000001, 0.8875000000000001, 0.8625, 0.7625, 0.4125, 0.125]",9.0,14.571428571428571
WaveDrum02_27#MIX.xml,"[0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9411764705882353, 0.9281045751633986, 0.8235294117647058, 0.6535947712418301, 0.3137254901960784]",7.562,14.117732426303855
WaveDrum02_28#MIX.xml,"[0.7256637168141592, 0.7256637168141592, 0.7256637168141592, 0.7256637168141592, 0.7256637168141592, 0.7256637168141592, 0.7256637168141592, 0.7256637168141592, 0.6902654867256636, 0.584070796460177, 0.33628318584070793]",5.766,13.374693877551021
WaveDrum02_29#MIX.xml,"[0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.7313432835820897, 0.582089552238806, 0.23880597014925373]",7.0,14.86077097505669
WaveDrum02_30#MIX.xml,"[0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.7522935779816513, 0.6605504587155964, 0.4770642201834862]",7.062,14.117732426303855
WaveDrum02_31#MIX.xml,"[0.9738219895287958, 0.9738219895287958, 0.9738219895287958, 0.9738219895287958, 0.9738219895287958, 0.9738219895287958, 0.9738219895287958, 0.9738219895287958, 0.8795811518324608, 0.7225130890052357, 0.3246073298429319]",7.704,12.923083900226757
WaveDrum02_32#MIX.xml,"[0.8691588785046729, 0.8691588785046729, 0.8691588785046729, 0.8691588785046729, 0.8691588785046729, 0.8317757009345795, 0.8317757009345795, 0.8130841121495328, 0.6074766355140186, 0.5327102803738317, 0.30841121495327106]",8.437,12.923083900226757
WaveDrum02_33#MIX.xml,"[0.8465116279069769, 0.8465116279069769, 0.8465116279069769, 0.8465116279069769, 0.8465116279069769, 0.8465116279069769, 0.8465116279069769, 0.8465116279069769, 0.7162790697674419, 0.6604651162790698, 0.3906976744186047]",9.281,12.923083900226757
WaveDrum02_34#MIX.xml,"[0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9642857142857143, 0.8690476190476191, 0.5595238095238095]",6.313,12.0
WaveDrum02_35#MIX.xml,"[0.7232142857142858, 0.7232142857142858, 0.7232142857142858, 0.7232142857142858, 0.7232142857142858, 0.7232142857142858, 0.7232142857142858, 0.7232142857142858, 0.6339285714285714, 0.41071428571428575, 0.13392857142857145]",7.047,12.0
WaveDrum02_36#MIX.xml,"[0.9010989010989012, 0.9010989010989012, 0.9010989010989012, 0.9010989010989012, 0.9010989010989012, 0.9010989010989012, 0.9010989010989012, 0.9010989010989012, 0.8351648351648353, 0.7142857142857142, 0.4285714285714286]",6.578,12.0
WaveDrum02_37#MIX.xml,"[0.8363636363636363, 0.8363636363636363, 0.8363636363636363, 0.8363636363636363, 0.8363636363636363, 0.8363636363636363, 0.8363636363636363, 0.8181818181818182, 0.7454545454545455, 0.5636363636363635, 0.27272727272727276]",8.0,15.018684807256236
WaveDrum02_38#MIX.xml,"[0.9183673469387754, 0.9183673469387754, 0.9183673469387754, 0.9183673469387754, 0.9183673469387754, 0.9183673469387754, 0.9183673469387754, 0.9183673469387754, 0.8571428571428571, 0.5918367346938775, 0.3469387755102041]",7.187,14.117732426303855
WaveDrum02_39#MIX.xml,"[0.9583333333333333, 0.9583333333333333, 0.9583333333333333, 0.9583333333333333, 0.9583333333333333, 0.9583333333333333, 0.9583333333333333, 0.9583333333333333, 0.875, 0.6458333333333333, 0.4166666666666667]",8.75,15.603809523809524
WaveDrum02_40#MIX.xml,"[0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.72, 0.7066666666666668, 0.5333333333333333, 0.4, 0.24000000000000005]",12.703,16.384013605442178
WaveDrum02_41#MIX.xml,"[0.7552447552447551, 0.7552447552447551, 0.7552447552447551, 0.7412587412587412, 0.7412587412587412, 0.7412587412587412, 0.7412587412587412, 0.7412587412587412, 0.6853146853146853, 0.5174825174825174, 0.39160839160839156]",9.704,14.86077097505669
WaveDrum02_42#MIX.xml,"[0.7581699346405228, 0.7581699346405228, 0.7450980392156863, 0.7450980392156863, 0.7320261437908497, 0.7320261437908497, 0.7320261437908497, 0.7320261437908497, 0.6797385620915033, 0.4444444444444445, 0.2091503267973856]",10.578,17.08988662131519
WaveDrum02_43#MIX.xml,"[0.7761194029850746, 0.7761194029850746, 0.7761194029850746, 0.746268656716418, 0.746268656716418, 0.7313432835820896, 0.6865671641791044, 0.6119402985074628, 0.5373134328358209, 0.373134328358209, 0.25373134328358204]",9.641,14.117732426303855
WaveDrum02_44#MIX.xml,"[0.8930817610062894, 0.8930817610062894, 0.8930817610062894, 0.8930817610062894, 0.8930817610062894, 0.8930817610062894, 0.8805031446540881, 0.8805031446540881, 0.7924528301886792, 0.540880503144654, 0.18867924528301888]",8.594,14.117732426303855
WaveDrum02_45#MIX.xml,"[0.9523809523809523, 0.9523809523809523, 0.9523809523809523, 0.9387755102040816, 0.9387755102040816, 0.9387755102040816, 0.9387755102040816, 0.9251700680272108, 0.870748299319728, 0.653061224489796, 0.2448979591836735]",8.968,14.571428571428571
WaveDrum02_46#MIX.xml,"[0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6774193548387097, 0.6451612903225806, 0.5483870967741935]",8.016,15.603809523809524
WaveDrum02_47#MIX.xml,"[0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.7107438016528924, 0.5950413223140496, 0.39669421487603307]",6.032,13.374693877551021
WaveDrum02_48#MIX.xml,"[0.7938931297709924, 0.7938931297709924, 0.7938931297709924, 0.7938931297709924, 0.7938931297709924, 0.7938931297709924, 0.7938931297709924, 0.7938931297709924, 0.7633587786259541, 0.6564885496183206, 0.3206106870229008]",7.093,14.86077097505669
WaveDrum02_49#MIX.xml,"[0.8854166666666666, 0.8854166666666666, 0.8854166666666666, 0.8749999999999999, 0.8749999999999999, 0.8749999999999999, 0.8749999999999999, 0.8749999999999999, 0.7708333333333333, 0.6875, 0.30208333333333337]",8.344,12.923083900226757
WaveDrum02_50#MIX.xml,"[0.8609865470852017, 0.8609865470852017, 0.8609865470852017, 0.8609865470852017, 0.8609865470852017, 0.8609865470852017, 0.8520179372197308, 0.8520179372197308, 0.7713004484304932, 0.6905829596412556, 0.26008968609865474]",8.328,12.923083900226757
WaveDrum02_51#MIX.xml,"[0.8585858585858587, 0.8585858585858587, 0.8585858585858587, 0.8585858585858587, 0.8585858585858587, 0.8383838383838383, 0.8383838383838383, 0.8383838383838383, 0.7777777777777777, 0.7373737373737373, 0.27272727272727276]",8.094,12.923083900226757
WaveDrum02_52#MIX.xml,"[0.784688995215311, 0.784688995215311, 0.784688995215311, 0.784688995215311, 0.784688995215311, 0.784688995215311, 0.784688995215311, 0.7751196172248804, 0.6698564593301435, 0.5454545454545455, 0.3253588516746412]",8.281,13.333333333333334
WaveDrum02_53#MIX.xml,"[0.9101123595505619, 0.9101123595505619, 0.9101123595505619, 0.9101123595505619, 0.9101123595505619, 0.9101123595505619, 0.9101123595505619, 0.9101123595505619, 0.8314606741573034, 0.6741573033707866, 0.34831460674157305]",8.359,13.333333333333334
WaveDrum02_54#MIX.xml,"[0.9651162790697674, 0.9651162790697674, 0.9651162790697674, 0.9651162790697674, 0.9651162790697674, 0.9651162790697674, 0.9651162790697674, 0.9651162790697674, 0.8837209302325582, 0.6860465116279069, 0.36046511627906974]",8.047,13.333333333333334
WaveDrum02_55#MIX.xml,"[0.8124999999999999, 0.8124999999999999, 0.8124999999999999, 0.8124999999999999, 0.796875, 0.796875, 0.796875, 0.6406249999999999, 0.42187499999999994, 0.21875, 0.046875]",5.094,8.0
WaveDrum02_56#MIX.xml,"[0.8623853211009175, 0.8623853211009175, 0.8623853211009175, 0.8623853211009175, 0.8623853211009175, 0.8623853211009175, 0.8623853211009175, 0.8440366972477065, 0.5871559633027523, 0.2018348623853211, 0]",4.375,8.0
WaveDrum02_57#MIX.xml,"[0.5909090909090908, 0.5909090909090908, 0.5909090909090908, 0.5909090909090908, 0.5909090909090908, 0.5909090909090908, 0.5757575757575758, 0.5606060606060607, 0.4848484848484848, 0.39393939393939387, 0.3333333333333333]",8.5,9.6
WaveDrum02_58#MIX.xml,"[0.7540983606557377, 0.7540983606557377, 0.7540983606557377, 0.7540983606557377, 0.7540983606557377, 0.7540983606557377, 0.7540983606557377, 0.7213114754098361, 0.639344262295082, 0.4098360655737705, 0.2459016393442623]",7.641,9.6
WaveDrum02_59#MIX.xml,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.7529411764705882, 0.5529411764705883, 0.3764705882352941, 0.2]",6.953,9.6
WaveDrum02_60#MIX.xml,"[0.7298578199052134, 0.7298578199052134, 0.7298578199052134, 0.7298578199052134, 0.7298578199052134, 0.7298578199052134, 0.7298578199052134, 0.6919431279620853, 0.6066350710900473, 0.48341232227488146, 0.3222748815165876]",7.61,9.6
